,Tweet Id,Text,UTC,Created At,Favorites,Retweets,color,member
270,1526827427929894912,"JO1 FCコンテンツ
『JO1交換日記』更新

皆さんこんにちわ！

…続きは
JO1公式HP FCコンテンツ
『RELAY BLOG』よりチェックして下さい
▶️https://t.co/3SLfb32mFY

#JO1 #KIZUNA #JO1交換日記 #木全翔也 #KIMATASYOYA https://t.co/dU4953EGP1",2022-05-18T07:30:00.000Z,Wed May 18 07:30:00 +0000 2022,19500,5542,purple,Kimata Syoya
271,1526578287589224448,"[D-7]
2ND ALBUM ""KIZUNA""
⟴ 5.25 RELEASE

#JO1 #佐藤景瑚 #KIZUNA #With_Us https://t.co/tiVPe8BArh",2022-05-17T15:00:00.000Z,Tue May 17 15:00:00 +0000 2022,25038,7352,brown,Sato Keigo
272,1526483453587656704,"[#大平祥生]
KCON 💜👼

またすぐあおうね

#KCON #KCON2022Premiere 
#JO1 #OHIRASHOSEI https://t.co/6UgDOSPvvC",2022-05-17T08:43:10.000Z,Tue May 17 08:43:10 +0000 2022,32838,8555,gold,Ohira Shosei
273,1526454550819143680,"[#佐藤景瑚]
KCON2022最高でした！

#JO1 #SATOKEIGO https://t.co/MKTmt6r2jJ",2022-05-17T06:48:19.000Z,Tue May 17 06:48:19 +0000 2022,32299,8235,brown,Sato Keigo
274,1526397096374378497,"JO1 FC会員限定WEBラジオ
『Jamming with JO1』更新！

今回のメンバーは…

Jamming with JO1は
JO1公式HP内 FCコンテンツ
『WEB RADIO』よりチェックして下さい！

▶️https://t.co/3SLfb32mFY

#JO1 #KIZUNA
#Jamming_with_JO1 https://t.co/vJAYBYsQew",2022-05-17T03:00:01.000Z,Tue May 17 03:00:01 +0000 2022,13368,4332,orange,Group
275,1526226925450326016,"[#與那城奨]
正解は〜〜翔也なんだなぁ

#JO1 #YONASHIROSHO
#木全翔也 #KIMATASYOYA https://t.co/mOx8WKO7zB",2022-05-16T15:43:49.000Z,Mon May 16 15:43:49 +0000 2022,30628,7920,purple,Kimata Syoya
276,1526215906132516865,"[D-8]
2ND ALBUM ""KIZUNA""
⟴ 5.25 RELEASE

#JO1 #河野純喜 #KIZUNA #With_Us https://t.co/U7NFu2iJNk",2022-05-16T15:00:02.000Z,Mon May 16 15:00:02 +0000 2022,24562,7465,deepskyblue,Kono Junki
277,1526208536690438144,"[#白岩瑠姫]

Hey, you wanna come in?

#KCON #KCON2022Premiere 
#JO1 #SHIROIWARUKI https://t.co/1R8rBJoIqJ",2022-05-16T14:30:45.000Z,Mon May 16 14:30:45 +0000 2022,34165,9238,silver,Shiroiwa Ruki
278,1526162279758462976,"[#佐藤景瑚]
ゆーとくーーん！😆✨
本当にかっこよくて
優しい憧れのお兄ちゃん！🦒

#펜타곤 #PENTAGON #YUTO
#JO1 #SATOKEIGO https://t.co/hg8oe59Cwj",2022-05-16T11:26:56.000Z,Mon May 16 11:26:56 +0000 2022,42751,10287,brown,Sato Keigo
279,1526151856241934336,"[#與那城奨]
今日は純喜に撮ってもらいました！
誰かわかるかな〜〜

#KIZUNAチャレンジ
#JO1 #YONASHIROSHO https://t.co/XqmLWbHLOF",2022-05-16T10:45:31.000Z,Mon May 16 10:45:31 +0000 2022,27192,7326,green,Yonashiro Sho
280,1526125311120707584,"[📢] JO1 2ND ALBUM ""KIZUNA""の
発売を記念して、各チェーン店にて
コラボキャンペーンの開催が決定しました！
 
詳細はこちら
🔗https://t.co/cR5bwM9rrv
 
#JO1 #KIZUNA #With_Us",2022-05-16T09:00:02.000Z,Mon May 16 09:00:02 +0000 2022,15393,4709,orange,Group
281,1526034704696320003,"JO1 FCコンテンツ
『JO1スタッフブログ』
『MOVIE』更新！

JO1 KIZUNA AR

JO1公式HP FCコンテンツ
『STAFF BLOG』『PHOTO』より
チェックして下さい
▶️https://t.co/3SLfb2KLOq

#JO1 #KIZUNA #JO1_KIZUNA_AR https://t.co/TyVX9dCsV5",2022-05-16T03:00:00.000Z,Mon May 16 03:00:00 +0000 2022,14027,4613,orange,Group
